FormNO,District,Age,Gender,Income,Education,Sevice_evaluation
409,Chitwan,43,Male,10700,Below SLC/SEE,Ok
410,Chitwan,34,Male,11400,SLC/SEE,Ok
411,Chitwan,50,Male,14000,SLC/SEE,Ok
412,Chitwan,48,Male,13600,SLC/SEE,Ok
413,Chitwan,54,Male,10600,SLC/SEE,Ok
414,Chitwan,37,Male,13500,Below SLC/SEE,Ok
415,Chitwan,39,Male,12400,SLC/SEE,Ok
416,Chitwan,40,Male,11300,Below SLC/SEE,Good
417,Chitwan,32,Female,11700,SLC/SEE,Ok
418,Chitwan, ,Female,14600,SLC/SEE,Bad
419,Chitwan,41,Male,14900,SLC/SEE,Ok
420,Chitwan,43,Male,14800,SLC/SEE,Ok
421,Chitwan,41,Male,11800,Inter/+2,Good
422,Chitwan,45,Male,11000,Inter/+2,Very Good
423,Chitwan,31,Male,14300,Inter/+2,Ok
424,Chitwan,51,Female,14100,Below SLC/SEE,Ok
425,Chitwan,33,Female,14700,Inter/+2,Ok
426,Chitwan,43,Male,14400,SLC/SEE,Good
427,Chitwan,34,Male,11900,Masters and above,Ok
428,Chitwan,42,Male,12200,SLC/SEE,Very Good
429,Chitwan,24,Female,14200,SLC/SEE,Good
430,Chitwan,29,Male,14400,SLC/SEE,Good
431,Chitwan, ,Male,10600,SLC/SEE,Very Good
432,Chitwan,34,Female,11800,Masters and above,Very Good
433,Chitwan,39,Male,12100,SLC/SEE,Good
434,Chitwan, ,Male,13300,SLC/SEE,Good
435,Chitwan,63,Male,3400,SLC/SEE,Good
436,Chitwan,68,Male,5300,Below SLC/SEE,Ok
437,Chitwan,54,Male,11500,SLC/SEE,Ok
438,Chitwan,22,Male,10700,Inter/+2,Good
439,Chitwan,47,Male,11600,Below SLC/SEE,Good
440,Chitwan,29,Male,12300,Inter/+2,Good
441,Chitwan,53,Female,14800,SLC/SEE,Ok
442,Chitwan,27,Male,10700,Inter/+2,Good
443,Chitwan,35,Male,13700,Bachelor,Bad
444,Chitwan,49,Male,14800,SLC/SEE,Good
445,Chitwan,24,Male,14000,Bachelor,Ok
446,Chitwan,43,Male,11200,SLC/SEE,Ok
447,Chitwan,63,Male,3800,SLC/SEE,Good
448,Chitwan,33,Male,13200,SLC/SEE,Good
449,Chitwan,34,Male,14000,Inter/+2,Ok
